Month,MVShop,MVSchool,MVRel,FullSimpleShop,FullSimpleSchool,FullSimpleRel
1,1.536632,4.326742,2.6765459,174755,156455,48135
2,1.5172218,3.9869561,2.4501464,152807,136322,39293
3,1.5322006,3.259664,2.3983357,141298,79011,28533
4,1.597486,2.761071,2.6500769,106752,21760,15495
5,1.5475228,2.373578,2.4252439,122847,22117,16659
6,1.535907,2.6742177,2.4128258,129179,23846,18323
7,1.5662522,2.6564524,2.4993541,127991,24187,17413
8,1.5590901,2.768979,2.4553106,128455,33009,20713
9,1.5391551,2.9944727,2.4403164,122900,39548,22202
10,1.5344933,2.9229734,2.422359,130791,43412,23618
11,1.5224293,2.9386957,2.4048486,116612,41321,21824
12,1.5250498,2.6687288,2.3632812,120909,33215,19965
13,1.525465,2.791656,2.4624162,115885,32989,19852
14,1.5121938,2.9977734,2.443038,116758,37697,20265
15,1.5237489,3.4167974,2.529865,144875,54433,23973
16,1.518608,3.758877,2.422481,141390,67750,25172
17,1.5103014,3.3968835,2.3910925,150571,67795,27005
18,1.5186331,2.893999,2.3969755,146744,43983,23301
19,1.5044864,2.7072704,2.4639533,154258,45317,24881
20,1.5322497,5.240011,2.7127397,166197,129313,34091
21,1.5325931,5.2072053,2.6122608,163425,139475,33450
22,1.5032804,4.3364005,2.5254831,170929,126766,36718
23,1.5197667,4.8812385,2.5353122,168840,142210,34678
24,1.5376384,3.8995,2.3620977,151748,102939,29727
